image,width_px,height_px,num_channels,source_file,recovery_file,recovered,acquisition_id,acquisition_description,acquisition_start_x_um,acquisition_start_y_um,acquisition_end_x_um,acquisition_end_y_um,acquisition_width_um,acquisition_height_um
TS-373_IMC09_B_001.tiff,1000,1000,42,TS-373_IMC09_B.mcd,,False,1.0,ROI1,30446.969,17057.257,31446.969,16057.257,1000.0,1000.0
TS-373_IMC09_B_002.tiff,1000,1000,42,TS-373_IMC09_B.mcd,,False,2.0,ROI2,28701.717,14519.243,29701.717,13519.243,1000.0,1000.0
TS-373_IMC05_MGUS_001.tiff,1000,1000,42,TS-373_IMC05_MGUS.mcd,,False,1.0,ROI1,27437.207,18471.981,28437.207,17471.981,1000.0,1000.0
TS-373_IMC05_MGUS_002.tiff,1000,1000,42,TS-373_IMC05_MGUS.mcd,,False,2.0,ROI2,32444.053,6877.125,33444.053,5877.125,1000.0,1000.0
TS-373_IMC02_MGUS_001.tiff,1000,1000,42,TS-373_IMC02_MGUS.mcd,TS-373_IMC02_MGUS_ROI_1.txt,False,1.0,ROI_1,27788.281,12777.192,28788.281,11777.192,1000.0,1000.0
TS-373_IMC02_MGUS_002.tiff,1000,1000,42,TS-373_IMC02_MGUS.mcd,TS-373_IMC02_MGUS_ROI_2.txt,False,2.0,ROI_2,28048.995,6998.062,29048.995,5998.062,1000.0,1000.0
TS-373_IMC02_MGUS_003.tiff,60,30,42,TS-373_IMC02_MGUS.mcd,,False,3.0,ROI_LEtest5,27635.0,9432.0,27695.0,9402.0,60.0,30.0
TS-373_IMC02_MGUS_004.tiff,60,30,42,TS-373_IMC02_MGUS.mcd,,False,4.0,ROI_LEtest3,27793.0,9434.0,27853.0,9404.0,60.0,30.0
TS-373_IMC02_MGUS_005.tiff,60,30,42,TS-373_IMC02_MGUS.mcd,,False,5.0,ROI_LEtest4,27716.0,9435.0,27776.0,9405.0,60.0,30.0
TS-373_IMC01_UB_001.tiff,1000,1000,42,TS-373_IMC01_UB.mcd,TS-373_IMC01_UB_ROI_1.txt,False,1.0,ROI_1,29364.549,16702.204,30364.549,15702.204,1000.0,1000.0
TS-373_IMC01_UB_002.tiff,1000,1000,42,TS-373_IMC01_UB.mcd,TS-373_IMC01_UB_ROI_2.txt,False,2.0,ROI_2,28779.415,15443.159,29779.415,14443.159,1000.0,1000.0
TS-373_IMC05_MGUS_ROI1.tiff,1000,1000,42,TS-373_IMC05_MGUS_ROI1.txt,,False,,,,,,,,
TS-373_IMC05_MGUS_ROI2.tiff,1000,1000,42,TS-373_IMC05_MGUS_ROI2.txt,,False,,,,,,,,
TS-373_IMC09_B_ROI1.tiff,1000,1000,42,TS-373_IMC09_B_ROI1.txt,,False,,,,,,,,
TS-373_IMC09_B_ROI2.tiff,1000,1000,42,TS-373_IMC09_B_ROI2.txt,,False,,,,,,,,
