category,phenotype,cell_count,fraction
B,myeloid_macrophage_like,3432,0.11243979949546244
B,plasma_myeloma_like,2813,0.0921600104838974
B,proliferating_like,3392,0.11112931232185565
B,stromal_bone_like,1142,0.03741440880647381
B,t_cell_like,5860,0.1919863709333945
B,unassigned,13884,0.45487009795891625
MGUS,myeloid_macrophage_like,4523,0.14345068189026325
MGUS,plasma_myeloma_like,5799,0.18392007611798286
MGUS,proliferating_like,2180,0.06914050111005392
MGUS,stromal_bone_like,2465,0.07817951157627656
MGUS,t_cell_like,9163,0.29061211544560733
MGUS,unassigned,7400,0.23469711385981604
UB,myeloid_macrophage_like,1562,0.16601126580933148
UB,plasma_myeloma_like,2684,0.285258794770964
UB,proliferating_like,499,0.053034328834095014
UB,stromal_bone_like,3525,0.37464130088213415
UB,t_cell_like,525,0.055797640556913594
UB,unassigned,614,0.06525666914656181
